1 1 2 3 1 100 1 419 10002 6
1	6
2	11
3	18
4	27
5	38
6	51
7	66
8	83
9	102
10	123
11	146
12	171
13	198
14	227
15	258
16	291
17	326
18	363
19	402
20	443
21	486
22	531
23	578
24	627
25	678
26	731
27	786
28	843
29	902
30	963
31	1026
32	1091
33	1158
34	1227
35	1298
36	1371
37	1446
38	1523
39	1602
40	1683
41	1766
42	1851
43	1938
44	2027
45	2118
46	2211
47	2306
48	2403
49	2502
50	2603
51	2706
52	2811
53	2918
54	3027
55	3138
56	3251
57	3366
58	3483
59	3602
60	3723
61	3846
62	3971
63	4098
64	4227
65	4358
66	4491
67	4626
68	4763
69	4902
70	5043
71	5186
72	5331
73	5478
74	5627
75	5778
76	5931
77	6086
78	6243
79	6402
80	6563
81	6726
82	6891
83	7058
84	7227
85	7398
86	7571
87	7746
88	7923
89	8102
90	8283
91	8466
92	8651
93	8838
94	9027
95	9218
96	9411
97	9606
98	9803
99	10002
